BP CODE,NTW #,PROVIDER NAME,REGION,CITY,DISTRICT,TYPE,NTW 1,NTW 2,NTW 3,NTW 4,NTW 5,NTW 6,NTW 7,NTW 8,NTW 9,NTW 10,TEL,FAX,المدنة,المنطقة,اسم مقدم الخدمة
390,1,KING FAHAD NATIONAL GUARD HOSP (RIYADH),CENTRAL,RIYADH,KASHMALAN,HOSPITAL,√,−,−,−,−,−,−,−,−,−,011-8028787,011-2521752,الراض,الوسطى,مستشفى الملك فھد (الحرس الوطنى)
5447,1,KING FAHAD MEDICAL CITY,CENTRAL,RIYADH,ALDHBAB,HOSPITAL,√,−,−,−,−,−,−,−,−,−,011-2889999,011-2889999,الراض,الوسطى,مدنة الملك فھد الطبة
5451,1,KING FAISAL SPECIALIZED HOSPITAL,CENTRAL,RIYADH,LABAN,HOSPITAL,√,−,−,−,−,−,−,−,−,−,011-4427407,011-4427407,الراض,الوسطى,مستشفى الملك فصل التخصصي ومركز ابحاث
5453,1,KING ABDULLAH HOSPITAL - NOURAH UNIVERSITY,CENTRAL,RIYADH,NARJES,HOSPITAL,√,−,−,−,−,−,−,−,−,−,011-8203344,011-8246333,الراض,الوسطى,مستشفى الملك عبداللھ - جامعة امرة نورة
5470,1,PRINCE SULTAN MEDICAL CITY,CENTRAL,RIYADH,SULAYMANIYAH,HOSPITAL,√,−,−,−,−,−,−,−,−,−,011-4777714,011-4777714,الراض,الوسطى,مدنة امر سلطان الطبة العسكرة
5515,1,PRINCE SULTAN CENTER FOR CARDIAC DISEASE,CENTRAL,RIYADH,SULAYMANIYAH,HOSPITAL,√,−,−,−,−,−,−,−,−,−,011-4783000,011-4783000,الراض,الوسطى,مركز امر سلطان مراض وجراحة القلب
148,2,DR SULIMAN AL HABIB MED. GROUP (OLAYA),CENTRAL,RIYADH,AL OLAYA,HOSPITAL,√,√,−,−,−,−,−,−,−,−,011-4622224,011-2167988,الراض,الوسطى,مركز الدكتور سلمان الحبب الطبي (العلا)
1498,2,DR SULIMAN AL HABIB HOSPITAL (ARRYAN),CENTRAL,RIYADH,AL RAYAN,HOSPITAL,√,√,−,−,−,−,−,−,−,−,011-4909999,011-4904444,الراض,الوسطى,مستشفى الدكتور سلمان الحبب (الران)
2259,2,DR SULIMAN AL HABIB HOSPITAL (TAKHSSUSI),CENTRAL,RIYADH,AL TAKHSSUSI,HOSPITAL,√,√,−,−,−,−,−,−,−,−,011-2833333,011-2833335,الراض,الوسطى,مستشفى الدكتور سلمان الحبب (التخصصي)
2727,2,DR SULIMAN AL HABIB HOSPITAL (MATERNITY),CENTRAL,RIYADH,AL OLAYA,HOSPITAL,√,√,−,−,−,−,−,−,−,−,011-4622224,011-4646549,الراض,الوسطى,مستشفى الدكتور سلمان الحبب للنساء والودة
4255,2,DR SULIMAN AL HABIB HOSPITAL (SUWAIDI),CENTRAL,RIYADH,AL SUWAIDI,HOSPITAL,√,√,−,−,−,−,−,−,−,−,011-4754444,011-4754991,الراض,الوسطى,مستشفى الدكتور سلمان الحبب ( السودي )
3,2,DALLAH HOSPITAL - ALNAKHEEL,CENTRAL,RIYADH,AL NAKHEEL,HOSPITAL,√,√,−,−,−,−,−,−,−,−,920012222,011-4702761,الراض,الوسطى,مستشفى دلھ - النخل
4566,2,FAMILY CARE HOSPITAL,CENTRAL,RIYADH,AL NADWAA,HOSPITAL,√,√,−,−,−,−,−,−,−,−,011-2454444,011-2465642,الراض,الوسطى,مستشفى عناة العائلة
3928,2,AL HAMMADI HOSPITAL AL SUWAIDI,CENTRAL,RIYADH,SUWEDI,HOSPITAL,√,√,−,−,−,−,−,−,−,−,011-4250000,011-4253333,الراض,الوسطى,مستشفى الحمادي - السودي
5182,2,AL HAMMADI HOSPITAL AL NUZHA,CENTRAL,RIYADH,NOZHA,HOSPITAL,√,√,−,−,−,−,−,−,−,−,011-4837777,011-4185555,الراض,الوسطى,مستشفى الحمادي - النزھھ
625,2,SAUDI GERMAN HOSPITAL (RIYADH),CENTRAL,RIYADH,SAHAFA,HOSPITAL,√,√,−,−,−,−,−,−,−,−,011-4873000,011-4871429,الراض,الوسطى,مستشفى السعودي الماني
5520,2,SIGAL DENTAL CLINICS,CENTRAL,RIYADH,OLAYA,CENTER,√,√,−,−,−,−,−,−,−,−,011-4648060,011-4648060,الراض,الوسطى,مجمع عادات سجال
5531,2,SIGAL DENTAL CLINICS -1,CENTRAL,RIYADH,OLAYA,CENTER,√,√,−,−,−,−,−,−,−,−,011-4648060,011-4648060,الراض,الوسطى,مجمع عادات سجال طب اسنان 1
1676,4,SAUDI BRITISH HOSPITAL,CENTRAL,RIYADH,AL OLAYA,HOSPITAL,√,√,√,√,−,−,−,−,−,−,011-2463666,011-2012532,الراض,الوسطى,مستشفى السعودي البرطاني
1120,4,AL MAS DENTAL CENTER,CENTRAL,RIYADH,AL HAMRA,CENTER,√,√,√,√,−,−,−,−,−,−,011-2487888,011-2485402,الراض,الوسطى,مجمع عادات واحة الماس لطب اسنان
2823,4,ABDULAZIZ AL AJAJI DENTAL CENTER,CENTRAL,RIYADH,AL MALAZ,CENTER,√,√,√,√,−,−,−,−,−,−,011-4774700,011-4764345,الراض,الوسطى,مجمع عادات عبدالعزز العجاجي لطب اسنان
4483,4,KING SALMAN HOSPITAL,CENTRAL,RIYADH,AL BADIYAH,HOSPITAL,√,√,√,√,R,R,R,R,R,R,011-4311100,011-4366264,الراض,الوسطى,مستشفى الملك سلمان
4491,4,KING SAUD MEDICAL CITY,CENTRAL,RIYADH,ALSHUMAISI,HOSPITAL,√,√,√,√,−,−,−,−,−,−,011-4335555,011-4356253,الراض,الوسطى,مدنة الملك سعود الطبة
4492,4,PRINCE MOHMMED BIN ABDULAZIZ HOSPITAL,CENTRAL,RIYADH,AL RAWABI,HOSPITAL,√,√,√,√,−,−,−,−,−,−,011-2616666,011-2617777,الراض,الوسطى,مستشفى امر محمد بن عبدالعزز
4485,4,AL EMAN GENERAL HOSPITAL,CENTRAL,RIYADH,KHANSHALILAH,HOSPITAL,√,√,√,√,−,−,−,−,−,−,011-4471912,011-4471913,الراض,الوسطى,مستشفى امان العام
